accession	tax_id	scientific_name	first_public	base_count
AB669829	67531	Drosophila lacteicornis	2014-01-02	838
AB669861	137356	Drosophila cauverii	2014-01-02	833
AF136677	95109	Drosophila americana americana	1999-06-03	884
AY340302	40366	Drosophila americana	2003-08-13	881
AY364513	7230	Drosophila mojavensis	2004-01-30	879
AY340278	40366	Drosophila americana	2003-08-13	881
AY340292	40366	Drosophila americana	2003-08-13	881
AY340294	40366	Drosophila americana	2003-08-13	881
AY364506	7230	Drosophila mojavensis	2004-01-30	880
AY874361	7241	Drosophila subobscura	2005-05-31	1422
AY874371	7241	Drosophila subobscura	2005-05-31	1406
AB703316	7247	Drosophila algonquin	2012-03-18	405
AB703319	7249	Drosophila azteca	2012-03-18	405
AB703324	7237	Drosophila pseudoobscura	2012-03-18	405
AF136678	95109	Drosophila americana americana	1999-06-03	884
AY340295	40366	Drosophila americana	2003-08-13	881
AY364493	7230	Drosophila mojavensis	2004-01-30	880
AY364499	7230	Drosophila mojavensis	2004-01-30	880
AY874368	7241	Drosophila subobscura	2005-05-31	1406
EF216308	426741	Drosophila luguensis	2007-06-10	431
U76483	7231	Drosophila mulleri	1997-03-06	902
AY364522	7230	Drosophila mojavensis	2004-01-30	879
AY874367	7241	Drosophila subobscura	2005-05-31	1406
AB703320	7218	Drosophila bifasciata	2012-03-18	405
AY340280	40366	Drosophila americana	2003-08-13	881
